iter	Passed	Remaining
537	1402	1204
538	1404	1201
539	1406	1198
540	1409	1195
541	1411	1193
542	1414	1190
543	1416	1187
544	1419	1184
545	1421	1182
546	1423	1179
547	1426	1176
548	1428	1173
549	1431	1170
550	1433	1168
551	1436	1165
552	1438	1162
553	1440	1159
554	1442	1156
555	1444	1153
556	1446	1150
557	1449	1147
558	1451	1145
559	1454	1142
560	1456	1139
561	1459	1137
562	1461	1134
563	1464	1131
564	1466	1129
565	1469	1126
566	1471	1123
567	1473	1120
568	1476	1118
569	1478	1115
570	1481	1112
571	1483	1110
572	1485	1107
573	1488	1104
574	1490	1101
575	1493	1099
576	1495	1096
577	1498	1093
578	1501	1091
579	1504	1089
580	1511	1089
581	1515	1088
582	1519	1086
583	1523	1084
584	1527	1083
585	1530	1081
586	1533	1079
587	1536	1076
588	1538	1073
589	1541	1071
590	1543	1068
591	1546	1065
592	1548	1062
593	1551	1060
594	1553	1057
595	1555	1054
596	1558	1051
597	1560	1049
598	1563	1046
599	1565	1043
600	1568	1041
601	1570	1038
602	1572	1035
603	1575	1032
604	1577	1030
605	1580	1027
606	1582	1024
607	1584	1021
608	1587	1019
609	1590	1017
610	1593	1014
611	1596	1012
612	1599	1009
613	1601	1006
614	1604	1004
615	1606	1001
616	1608	998
617	1611	995
618	1613	993
619	1615	990
620	1618	987
621	1620	985
622	1623	982
623	1625	979
624	1628	976
625	1630	974
626	1633	971
627	1635	968
628	1638	966
629	1640	963
630	1642	960
631	1645	958
632	1647	955
633	1650	952
634	1652	949
635	1654	947
636	1657	944
637	1659	941
638	1662	939
639	1664	936
640	1667	933
641	1669	930
642	1671	928
643	1674	925
644	1676	922
645	1679	920
646	1681	917
647	1684	914
648	1686	912
649	1688	909
650	1691	906
651	1693	904
652	1696	901
653	1698	898
654	1700	895
655	1703	893
656	1705	890
657	1708	887
658	1710	885
659	1712	882
660	1715	879
661	1717	877
662	1720	874
663	1722	871
664	1725	869
665	1727	866
666	1729	863
667	1732	860
668	1734	858
669	1737	855
670	1739	852
671	1741	850
672	1744	847
673	1746	844
674	1749	842
675	1751	839
676	1754	836
677	1756	834
678	1758	831
679	1761	828
680	1763	826
681	1766	823
682	1768	820
683	1771	818
684	1773	815
685	1775	812
686	1778	810
687	1780	807
688	1783	804
689	1785	802
690	1788	799
691	1790	796
692	1792	794
693	1795	791
694	1797	788
695	1800	786
696	1802	783
697	1805	780
698	1807	778
699	1809	775
700	1812	773
701	1814	770
702	1817	767
703	1819	765
704	1822	762
705	1824	759
706	1826	757
707	1829	754
708	1832	752
709	1834	749
710	1837	746
711	1839	744
712	1841	741
713	1844	738
714	1846	736
715	1848	733
716	1851	730
717	1853	728
718	1856	725
719	1858	722
720	1861	720
721	1863	717
722	1865	714
723	1868	712
724	1870	709
725	1872	706
726	1876	704
727	1879	702
728	1882	699
729	1885	697
730	1889	695
731	1892	692
732	1895	690
733	1898	688
734	1901	685
735	1905	683
736	1908	681
737	1911	678
738	1914	676
739	1918	673
740	1921	671
741	1924	669
742	1927	666
743	1931	664
744	1934	662
745	1937	659
746	1940	657
747	1944	655
748	1947	652
749	1950	650
750	1953	647
751	1957	645
752	1960	643
753	1963	640
754	1966	638
755	1969	635
756	1973	633
757	1976	630
758	1979	628
759	1982	626
760	1986	623
761	1989	621
762	1992	618
763	1995	616
764	1998	614
765	2002	611
766	2005	609
767	2008	606
768	2011	604
769	2015	601
770	2018	599
771	2021	596
772	2024	594
773	2027	592
774	2030	589
775	2032	586
776	2034	583
777	2037	581
778	2039	578
779	2041	575
780	2044	573
781	2046	570
782	2049	567
783	2051	565
784	2053	562
785	2056	559
786	2058	557
787	2061	554
788	2063	551
789	2066	549
790	2068	546
791	2071	543
792	2073	541
793	2075	538
794	2078	535
795	2080	533
796	2083	530
797	2085	527
798	2088	525
799	2091	522
800	2094	520
801	2097	517
802	2100	515
803	2102	512
804	2105	509
805	2107	507
806	2109	504
807	2112	501
808	2114	499
809	2117	496
810	2119	494
811	2122	491
812	2124	488
813	2127	486
814	2129	483
815	2132	480
816	2135	478
817	2137	475
818	2140	473
819	2142	470
820	2145	467
821	2147	465
822	2149	462
823	2152	459
824	2154	457
825	2157	454
826	2159	451
827	2162	449
828	2164	446
829	2166	443
830	2169	441
831	2171	438
832	2174	435
833	2176	433
834	2179	430
835	2181	427
836	2184	425
837	2186	422
838	2188	420
839	2191	417
840	2193	414
841	2196	412
842	2198	409
843	2200	406
844	2203	404
845	2205	401
846	2208	398
847	2210	396
848	2212	393
849	2215	390
850	2217	388
851	2220	385
852	2222	383
853	2224	380
854	2227	377
855	2229	375
856	2232	372
857	2234	369
858	2237	367
859	2239	364
860	2242	361
861	2244	359
862	2247	356
863	2249	354
864	2251	351
865	2254	348
866	2256	346
867	2259	343
868	2261	340
869	2263	338
870	2266	335
871	2268	333
872	2271	330
873	2273	327
874	2275	325
875	2278	322
876	2280	319
877	2283	317
878	2285	314
879	2288	312
880	2290	309
881	2293	306
882	2295	304
883	2297	301
884	2300	298
885	2302	296
886	2305	293
887	2307	291
888	2310	288
889	2312	285
890	2314	283
891	2317	280
892	2319	277
893	2322	275
894	2324	272
895	2327	270
896	2329	267
897	2332	264
898	2334	262
899	2336	259
900	2339	257
901	2341	254
902	2344	251
903	2346	249
904	2348	246
905	2351	243
906	2353	241
907	2356	238
908	2358	236
909	2361	233
910	2363	230
911	2366	228
912	2368	225
913	2371	223
914	2373	220
915	2375	217
916	2378	215
917	2380	212
918	2383	210
919	2385	207
920	2388	204
921	2390	202
922	2392	199
923	2395	197
924	2397	194
925	2400	191
926	2402	189
927	2404	186
928	2407	183
929	2409	181
930	2412	178
931	2414	176
932	2417	173
933	2419	170
934	2421	168
935	2424	165
936	2426	163
937	2429	160
938	2431	157
939	2434	155
940	2436	152
941	2438	150
942	2441	147
943	2443	144
944	2446	142
945	2448	139
946	2451	137
947	2453	134
948	2455	131
949	2458	129
950	2460	126
951	2463	124
952	2465	121
953	2468	119
954	2470	116
955	2473	113
956	2475	111
957	2478	108
958	2481	106
959	2483	103
960	2486	100
961	2488	98
962	2491	95
963	2493	93
964	2496	90
965	2499	87
966	2501	85
967	2504	82
968	2507	80
969	2509	77
970	2512	75
971	2516	72
972	2520	69
973	2523	67
974	2525	64
975	2528	62
976	2531	59
977	2533	56
978	2536	54
979	2539	51
980	2541	49
981	2544	46
982	2546	44
983	2549	41
984	2552	38
985	2554	36
986	2557	33
987	2560	31
988	2562	28
989	2565	25
990	2567	23
991	2570	20
992	2573	18
993	2576	15
994	2578	12
995	2581	10
996	2583	7
997	2586	5
998	2589	2
999	2592	0
