iter	Logloss
0	0.6870991216
1	0.6801947244
2	0.6739320791
3	0.6678449564
4	0.6634019092
5	0.6571845751
6	0.6511764996
7	0.6458053487
8	0.6400563798
9	0.6342002684
10	0.6291764047
11	0.6241953587
12	0.6186493697
13	0.6135580393
14	0.6092076622
15	0.6053493934
16	0.6007108866
17	0.5967078119
18	0.593173821
19	0.5873892375
20	0.5824739822
21	0.578889323
22	0.5754830585
23	0.5720590086
24	0.5680461395
25	0.5644082909
26	0.5608076299
27	0.5573040151
28	0.5535589891
29	0.550616049
30	0.5475276646
31	0.5446666036
32	0.541201026
33	0.5373578947
34	0.5343650451
35	0.5318193699
36	0.5292212437
37	0.5263742545
38	0.5230972513
39	0.5195811747
40	0.517023393
41	0.5144310432
42	0.5120153559
43	0.509718009
44	0.5079100725
45	0.5060269023
46	0.5037604387
47	0.5018750198
48	0.4992229186
49	0.4968028753
50	0.4951327333
51	0.4928907202
52	0.4905846855
53	0.4887978619
54	0.4872567998
55	0.4855692873
56	0.4837148872
57	0.4820905323
58	0.479817824
59	0.4767701138
60	0.474520968
61	0.4734379062
62	0.4721396982
63	0.4702577187
64	0.4687721502
65	0.4666976752
66	0.4643630135
67	0.462786062
68	0.4617559621
69	0.4597457998
70	0.4582155022
71	0.4575039817
72	0.4557798674
73	0.4546091381
74	0.4526327219
75	0.4513370413
76	0.4504304254
77	0.4495055466
78	0.4484626284
79	0.4473372606
80	0.4455514609
81	0.444191471
82	0.4426486353
83	0.4408203583
84	0.4399488633
85	0.4385685116
86	0.4377598151
87	0.436768959
88	0.4354639916
89	0.4339210619
90	0.432664663
91	0.4314409881
92	0.4301371357
93	0.4290669926
94	0.4280335889
95	0.4270389412
96	0.4261554243
97	0.4250194937
98	0.4244054899
99	0.4232697525
100	0.4221166119
101	0.4210299982
102	0.4200368321
103	0.4194737993
104	0.4184936749
105	0.4176860997
106	0.4165167099
107	0.4157664197
108	0.4147691542
109	0.4138391723
110	0.4129723683
111	0.4119802522
112	0.41130352
113	0.410687912
114	0.4098168996
115	0.408851579
116	0.4083700348
117	0.4071233932
118	0.4070504386
119	0.4060821542
120	0.4058154255
121	0.4049540388
122	0.4042129984
123	0.402845742
124	0.4015692277
125	0.4008870691
126	0.4000342161
127	0.3995595444
128	0.3987449145
129	0.3979039445
130	0.3975610305
131	0.3971878955
132	0.3963639582
133	0.3954881687
134	0.394633784
135	0.393154779
136	0.3924053864
137	0.3918952601
